uid,jobid,skill_match,experience_gap,location_match,education_match,job_type_match,mode_match,label,snapshot_at
2825,126226,61.56,1.8,0,1,1,1,0.6486,2025-06-11 13:54:56
5013,334054,31.41,3.23,1,0,1,0,0.4155,2025-07-16 13:54:56
2680,809571,63.63,2.7,1,0,1,0,0.5792,2025-04-03 13:54:56
2425,719177,43.27,2.46,0,1,1,1,0.521,2025-05-04 13:54:56
1521,131245,90.66,4.72,0,0,0,0,0.4769,2025-07-28 13:54:56
4583,343963,30.46,3.53,0,1,0,1,0.3131,2025-04-13 13:54:56
1435,688509,26.58,5.59,1,0,1,0,0.491,2025-07-01 13:54:56
9929,539899,39.47,0.82,1,1,1,1,0.6817,2025-06-25 13:54:56
8360,717890,69.31,2.39,1,1,0,0,0.7576,2025-06-10 13:54:56
1107,895668,57.63,1.84,1,1,0,0,0.6616,2025-07-11 13:54:56
7925,456779,42.89,5.25,1,0,1,1,0.5831,2025-06-10 13:54:56
3548,325773,41.71,3.39,0,1,1,0,0.5121,2025-05-26 13:54:56
2675,197252,60.31,8.16,1,1,1,0,0.6368,2025-05-15 13:54:56
2585,476418,11.59,2.68,0,0,1,0,0.4159,2025-05-24 13:54:56
5334,946336,74.09,5.93,0,1,1,1,0.6654,2025-08-09 13:54:56
8528,662276,28.47,0.47,0,1,1,0,0.4761,2025-07-20 13:54:56
7202,182628,16.98,0.26,1,0,1,0,0.5903,2025-04-01 13:54:56
5804,969694,84.8,2.32,0,1,1,1,0.752,2025-03-13 13:54:56
6926,705398,52.41,3.25,1,0,0,1,0.5619,2025-07-02 13:54:56
2140,148051,69.65,8.1,1,0,1,0,0.5903,2025-03-04 13:54:56
4734,910621,81.75,4.97,0,0,1,0,0.6225,2025-06-07 13:54:56
2308,996866,42.22,2.54,1,1,0,1,0.6908,2025-06-22 13:54:56
2655,498592,21.03,1.83,0,1,1,1,0.5332,2025-06-10 13:54:56
8429,766564,67.88,3.14,1,1,1,0,0.6964,2025-05-19 13:54:56
3665,488163,74.91,5.75,1,0,1,1,0.7374,2025-05-22 13:54:56
4433,802730,42.9,4.45,1,0,0,1,0.4805,2025-06-13 13:54:56
2170,738721,28.19,2.34,0,1,1,0,0.544,2025-03-11 13:54:56
3804,660087,67.37,3.15,1,1,1,1,0.8072,2025-06-19 13:54:56
3678,584715,70.81,5.06,0,0,1,1,0.4935,2025-05-15 13:54:56
5423,771089,81.2,0.54,1,1,1,1,0.9329,2025-02-25 13:54:56
4599,817871,92.82,1.05,1,0,0,0,0.6885,2025-05-29 13:54:56
1917,340175,89.13,7.4,1,0,1,1,0.6371,2025-08-12 13:54:56
6169,520652,68.57,3.1,0,1,1,1,0.6323,2025-06-13 13:54:56
2085,321232,89.89,2.04,1,1,0,0,0.7981,2025-03-28 13:54:56
6156,322956,67.61,0.73,0,1,1,1,0.7483,2025-03-06 13:54:56
