training_id,uid,jobid,skill_match,experience_gap,location_match,education_match,job_type_match,mode_match,label,snapshot_at
1,105,1001,59.19,-2.78,0,0,1,1,0.4515,2023-10-29 13:16:07
2,108,1003,71.72,0.06,0,0,1,0,0.6658,2023-11-08 23:22:37
3,155,1022,59.5,-0.06,1,1,1,0,0.7581,2023-11-03 09:59:21
4,164,1024,70.19,-2.55,1,0,1,0,0.5479,2023-11-04 15:51:29
5,170,1034,65.97,-5.45,1,1,0,1,0.5649,2023-11-06 23:48:13
6,210,1050,72.8,5.85,1,1,0,0,0.6082,2023-11-06 15:52:12
7,211,1057,61.04,-3.91,0,0,1,1,0.4403,2023-10-26 11:31:06
8,216,1067,58.56,-3.77,0,1,0,1,0.4834,2023-10-26 14:48:58
9,251,1068,59.52,-2.33,0,0,1,0,0.4228,2023-10-29 06:26:58
10,283,1075,62.89,4.49,0,1,1,0,0.509,2023-11-06 21:33:58
11,305,1077,67.94,-1.53,1,0,1,1,0.6183,2023-11-01 14:38:55
12,333,1084,81.52,2.12,0,1,0,0,0.5329,2023-10-28 23:29:36
13,375,1096,53.57,-1.21,1,1,0,0,0.539,2023-10-27 02:08:38
14,377,1099,56.16,0.15,0,0,1,0,0.6212,2023-11-03 22:14:12
15,421,1105,53.47,2.86,0,1,1,1,0.4959,2023-11-06 17:07:17
16,443,1116,76.08,-1.11,1,1,1,0,0.753,2023-10-27 15:15:47
17,462,1119,75.73,-1.8,1,1,1,1,0.709,2023-11-07 13:32:11
18,487,1137,82.88,-0.89,1,1,1,1,0.8594,2023-11-02 22:36:49
19,488,1153,86.79,2.5,0,0,1,1,0.6138,2023-11-05 20:01:57
20,521,1164,83.8,1.63,1,1,1,1,0.8019,2023-11-06 17:53:21
21,567,1182,63.24,0.38,0,0,1,0,0.5911,2023-11-08 03:37:27
22,575,1189,71.67,1.05,1,1,0,1,0.6773,2023-10-27 21:21:48
23,583,1191,58.22,3.41,1,0,1,1,0.5428,2023-11-02 15:04:31
24,600,1203,84.22,-0.31,1,1,1,0,0.8891,2023-10-29 10:30:46
25,633,1206,49.64,1.78,1,1,0,1,0.5117,2023-11-07 16:17:26
26,635,1216,79.54,2.18,1,1,0,1,0.6886,2023-10-29 01:22:42
27,660,1229,43.62,-1.39,1,0,1,0,0.4502,2023-11-02 20:19:10
28,682,1248,62.55,-4.47,1,0,0,1,0.5024,2023-10-31 16:07:23
29,719,1249,76.68,3.03,0,1,1,0,0.5771,2023-11-08 13:30:52
30,761,1268,75.02,-1.11,0,0,1,1,0.5957,2023-11-03 22:54:00
31,773,1269,49.86,-1.19,1,1,1,0,0.5671,2023-11-09 00:36:31
32,812,1274,67.48,-3.8,0,1,0,0,0.4652,2023-10-31 12:19:16
33,859,1291,56.62,-1.37,1,1,0,1,0.6147,2023-11-02 20:40:19
34,890,1301,67.99,2.91,1,0,0,1,0.5281,2023-11-02 11:56:32
35,918,1313,59.72,-1.54,1,1,1,1,0.6865,2023-10-30 04:06:33
36,961,1325,54.97,-1.36,0,1,0,1,0.4785,2023-11-02 10:15:56
37,987,1335,37.28,-1.47,0,1,1,1,0.4537,2023-11-05 15:52:03
38,1012,1339,50.09,1.87,1,1,1,1,0.5657,2023-10-30 23:16:13
39,1044,1344,53.3,2.86,0,1,1,1,0.497,2023-11-06 12:53:41
40,1057,1363,59.76,-0.68,1,1,1,1,0.7183,2023-11-05 10:35:32
41,1062,1366,67.16,-3.6,1,1,0,1,0.5983,2023-11-01 15:39:37
42,1101,1380,65.36,2.44,0,0,0,1,0.4292,2023-10-29 00:25:15
43,1118,1386,43.83,-1.08,1,1,0,0,0.5091,2023-11-07 19:07:51
44,1166,1399,59.04,-1.8,1,1,1,1,0.61,2023-11-08 11:12:44
45,1179,1417,62.65,0.81,1,1,1,0,0.6784,2023-10-29 16:36:00
46,1204,1418,52.55,0.17,1,0,1,1,0.688,2023-11-02 17:19:13
47,1251,1427,52.21,-2.24,1,1,1,0,0.5438,2023-10-30 19:47:23
48,1275,1435,49.65,-3.02,0,0,1,0,0.3797,2023-11-01 02:12:42
49,1292,1444,56.54,1.43,0,1,1,1,0.5757,2023-11-01 23:21:35
50,1297,1459,82.45,-3.08,1,1,1,1,0.7385,2023-11-08 23:02:34
51,1318,1476,77.24,-6.13,0,0,1,1,0.5354,2023-11-05 13:42:54
52,1323,1482,81.99,3.99,1,1,0,0,0.654,2023-11-06 03:36:44
53,1327,1483,69.7,-3.84,0,1,1,1,0.6038,2023-11-02 11:46:02
54,1339,1484,65.44,2.57,1,0,0,1,0.516,2023-11-04 21:29:56
55,1353,1486,75.5,0.58,1,1,1,1,0.8511,2023-11-04 08:52:02
56,1387,1492,62.03,-0.66,1,1,1,1,0.7569,2023-11-02 20:36:39
57,1392,1494,67.81,-2.87,1,1,1,1,0.6348,2023-10-28 16:20:46
58,1403,1510,68.54,-1.28,1,1,1,0,0.6621,2023-11-06 02:00:18
59,1422,1515,58.02,-0.59,1,1,1,1,0.7276,2023-10-27 09:31:05
60,1467,1524,44.49,4.91,1,0,1,0,0.393,2023-11-02 03:29:39
61,1468,1532,72.84,-1.33,0,1,1,0,0.6125,2023-11-01 21:55:35
62,1470,1545,41.91,2.17,1,0,1,0,0.3909,2023-11-04 20:05:06
63,1485,1550,50.36,2.97,0,1,0,0,0.3766,2023-11-01 11:44:09
64,1488,1559,63.67,0.19,1,1,1,0,0.7458,2023-10-30 12:48:40
65,1525,1565,81.01,-3.54,1,1,1,0,0.698,2023-11-07 00:32:20
66,1531,1571,53.65,-0.95,0,0,1,0,0.4686,2023-10-31 04:07:14
67,1562,1579,70.69,1.99,0,1,1,1,0.588,2023-10-29 08:24:29
68,1564,1594,64.89,3.1,0,1,1,0,0.5076,2023-11-06 09:08:00
69,1576,1609,71.11,-0.53,1,1,0,1,0.7664,2023-10-30 19:12:05
70,1586,1614,42.01,-1.5,1,1,1,1,0.5573,2023-11-06 06:15:18
71,1621,1631,77.94,-1.4,1,1,0,0,0.7077,2023-11-04 06:36:48
72,1661,1639,76.68,1.91,1,0,0,1,0.6018,2023-11-02 20:29:49
73,1665,1652,66.67,-1.25,1,1,1,1,0.7532,2023-11-08 15:52:30
74,1680,1653,52.98,-0.6,1,1,1,0,0.6743,2023-11-08 14:07:02
75,1688,1663,47.8,1.27,1,1,1,0,0.5847,2023-11-05 04:58:08
76,1725,1664,38.73,3.77,1,1,1,0,0.4404,2023-11-08 07:14:43
77,1770,1679,75.12,-1.07,1,1,1,1,0.7727,2023-11-07 11:04:03
78,1796,1690,67.04,-2.94,1,0,1,1,0.5586,2023-10-27 18:58:05
79,1814,1691,36.42,4.46,1,1,0,1,0.4203,2023-11-08 17:48:41
80,1823,1710,72.33,-2.47,1,1,0,1,0.6215,2023-11-08 15:05:34
